NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 926 821 793 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1136 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1141 1107 968 909 815 777 747 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1089 1135 NaN NaN 917 914 831 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN 1001 1008 1021 848 848 805 795 718 710 678 NaN NaN NaN NaN 879 927 NaN NaN NaN 1007 1074 1071 1113 1048 978 949 865 890 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN 990 943 949 872 837 785 809 747 710 733 737 NaN NaN 808 804 849 872 857 883 933 1010 1058 1115 1167 1158 1069 1005 908 905 880 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN 984 873 851 816 779 797 764 755 803 787 735 660 808 797 788 794 815 869 921 876 868 889 946 1015 1119 1217 1180 1145 925 833 828 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN 939 986 974 1032 962 952 907 831 795 829 779 749 697 657 688 738 730 672 742 797 820 765 797 914 1026 992 997 999 901 942 1060 1223 1330 1281 1010 906 832 836 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN 802 905 966 1004 979 949 852 884 779 764 783 710 680 662 661 703 785 808 790 750 760 761 795 891 1009 949 910 1024 1039 930 920 1044 1167 1151 1032 1012 937 841 837 913 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN 843 943 969 997 944 805 845 788 708 733 721 717 676 701 739 833 837 780 778 784 783 775 870 990 936 934 929 1008 1059 972 930 967 941 964 975 860 822 831 846 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN 808 879 NaN NaN NaN NaN 803 772 749 657 695 723 661 699 743 842 804 771 776 782 784 788 771 876 923 968 920 955 1021 1056 1062 916 904 913 987 919 856 904 962 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN 845 877 NaN NaN NaN NaN NaN NaN NaN 724 683 697 667 733 775 766 810 780 765 757 751 775 784 821 954 1004 1047 986 929 953 1023 927 883 849 853 854 855 930 967 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 733 714 743 710 754 748 726 743 769 756 756 748 756 785 854 901 963 1042 1059 969 988 960 856 903 884 872 823 848 914 930 870 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 742 739 731 721 754 767 763 769 767 764 777 855 894 880 906 950 969 959 914 823 889 922 923 829 835 923 970 965 978 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 789 809 764 767 776 747 745 749 759 762 761 799 848 885 952 1010 1002 985 939 843 807 850 888 846 831 881 891 918 933 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 812 886 815 836 821 795 756 762 763 780 773 804 862 916 941 928 1028 968 894 876 882 821 816 748 783 858 833 881 883 867 946 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 876 904 848 812 849 827 810 803 793 799 800 797 856 919 931 880 962 945 932 861 815 797 834 746 790 780 816 854 879 890 940 896 963 970 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 913 917 865 818 803 798 833 833 806 784 803 810 848 837 832 922 917 898 896 843 757 740 762 841 769 795 789 815 818 854 930 1052 1263 1274 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
