NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 921.214 816.308 788.525 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1130.787 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1134.255 1100.51 962.551 903.613 810.725 773.197 743.839 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 1083.409 1129.319 NaN NaN 912.465 909.003 826.859 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN 995.319 1002.594 1015.235 843.713 843.459 801.717 791.711 715.828 708.607 676.047 NaN NaN NaN NaN 876.216 923.562 NaN NaN NaN 1001.742 1068.47 1065.035 1106.242 1041.83 971.605 942.931 859.842 884.73 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN 984.303 937.889 944.327 867.826 833.331 782.448 806.004 744.721 708.695 731.493 736.334 NaN NaN 806.727 802.706 846.833 870.092 855.051 880.308 929.343999999999 1005.362 1052.828 1107.885 1159.512 1150.291 1061.627 998.173 901.425 898.801 873.573 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN 979.172 869.135 846.968 812.933 776.564 794.876 761.984 753.519 801.635 786.119 734.703 660.046 807.567 796.952 787.648 793.299 814.451 868.048 919.157 873.437 865.025 885.667 941.113 1008.625 1111.902 1208.229 1171.464 1136.858 918.545 827.261 822.111 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN 937.451 983.854 971.935000000001 1028.742 958.409 948.758 903.616 828.526 792.28 826.419 776.714 747.685 695.415 655.687 687.477 737.62 730.036 672.068 742.015 797.636 820.456 765.055000000001 797.333 912.896 1024.397 989.33 993.498 995.214 897.005 936.447 1052.984 1214.222 1319.954 1271.616 1003.098 900.172 826.631 830.911 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN 801.215 903.677 963.798 1002.12 976.883 946.19 849.559 881.51 777.225 762.687 781.181 709.193 679.555 661.844 660.831 702.182 785.079 808.255000000001 790.027 750.573 760.645 761.823 795.275 890.805 1007.015 946.639 907.454 1020.064 1034.615 925.251 914.526 1036.851 1158.444 1142.91 1024.5 1004.969 930.863 835.749 831.125 906.755 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN 841.89 941.176 967.349 994.990000000001 941.82 803.207 843.136 787.127 707.369 732.206 720.701 716.768 675.245 700.565 739.089 832.556 836.541 779.879 778.489 784.761 783.989 775.465 869.636999999999 988.665999999999 933.938 931.51 925.029 1003.827 1053.404 966.922 924.249 960.527 934.583 957.354 968.548 854.799 817.601 826.089 840.34 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN 807.181 877.411 NaN NaN NaN NaN 801.731 771.361 748.388 656.041 694.491 722.545 660.859 698.281 742.791 841.505 804.418 771.32 776.524 782.546 784.606 788.925 771.123 874.755000000001 921.233 965.635 916.402 950.378 1015.994 1050.671 1056.423 910.991 898.223 907.622 981.557 913.866 850.992 898.801 955.905 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN 843.183 875.458 NaN NaN NaN NaN NaN NaN NaN 723.512 682.701 696.217 666.32 732.522 774.938 766.466 809.995 780.872 765.796 757.773 751.456 775.541 783.86 820.626 952.06 1001.447 1043.451 982.528 924.988 948.359 1017.361 922.101 878.229 844.557 848.073 849.213 849.838 923.722 960.112 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 731.887 713.204 742.419 709.797 753.097 747.334 726.217 743.349 769.622 757.12 757.08 748.442 756.873 784.857 853.367 899.257 960.681 1037.842 1054.899 964.601 983.387 954.674 850.893 897.682 878.674 866.592 817.667 842.222 907.526 922.763 862.89 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 740.703 738.219 730.271 720.458 753.622 767.058 763.003 769.297 767.965 764.514 777.136 853.941 892.52 877.12 903.184000000001 946.115 964.579 954.095 909.404 818.167 883.723 916.781 916.959 823.778 829.19 915.69 961.93 956.256000000001 968.372 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 786.402 806.971 762.382 765.842 775.658 747.166 744.932 749.65 758.71 762.267 760.495 798.503 846.233 882.034 948.120000000001 1006.119 997.208 980.094 934.276 838.416 802.473 844.134 881.649 839.954 824.521 873.420000000001 882.957 908.737 922.765 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 808.067 883.037 812.405 833.989 819.216 793.612 755.649 761.475 762.797 779.048 772.591 802.429 859.748 912.509 937.559999999999 924.096999999999 1022.469 962.657 888.511 870.564 875.738 815.381 809.855 741.662 775.997 849.677 824.163 871.11 872.511 855.996 933.169 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 871.448 899.6 844.552999999999 808.59 846.063 825.404 807.963 801.233 792.051 797.293 798.542 794.499 853.201 915.332000000001 926.636 875.36 956.719 939.216 925.814 855.355 809.056 790.549 826.467 739.395 782.265 771.278000000001 806.623 843.586 867.264 877.872 926.81 883.13 949.078 955.959 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 907.602999999999 911.829 860.712 814.208 800.315 795.101 830.644 830.553 803.401000000001 781.175 800.062 806.55 843.202 832.355 827.157 915.656 910.602 891.047 889.409 836.361 750.72 733.295 753.957 831.603 759.439 784.528 778.283 803.271 805.217 840.41 915.512 1035.306 1242.281 1252.877 NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN
NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN NaN 890.364 867.358 853.573 809.68 801.193 785.8 825.32 796.454 801.741 849.603 813.901 811.426 872.578 848.416 887.132 879.474 901.99 864.944 846.118 786.499 755.661 727.031 853.891 879.726 929.77 949.949 1017.542 982.04 1025.905 1087.268 1085.179 1245.327 1331.862 1553.717 NaN NaN NaN NaN NaN NaN NaN NaN NaN
